"Crew ID","Crew Name","Custom Crew Number","Custom Crew Name",
"1001335","Mixed-Novice","","",
"1001340","BBL-RICHARDSON","","",
"1001343","University of Zagreb","","",
"1001344","GUI-STARLING","","",
"1001345","Maidenhead D8+","","",
"1001346","Weybridge Hudson","","",
"1001347","Weybridge Hudson-2","","",
"1001348","WEY-JOHNSON","","",
"1001349","WEY-THOMAS","","",
"1001350","Berrington","","",
"1001356","UTC MasD - Jacobs","","",
"1001358","Blue Suede Fools","","",
"1001359","Blue Suede Fools-2","","",
"1001360","Turnell","","",
"1001378","-HAASTRUP","","",
"1001390","HIL-SHAH","","",
"1001395","AGE-HARRIS","","",
"1001396","AGE-CLAY","","",
"1001421","PTR-NASH","","",
"1001450","RG Benrath","","",
"1001453","ACBB_Vesta_1_2017","","",
"1001454","MAR- WMas E","","",
"1001455","MAR-MANLEY","","",
"1001456","MAR-JAGGER","","",
"1001467","Cercle Nautique de France","","",
"1001468","Henley - Wedgewood","","",
"1001472","RAF-DAVIS","","",
"1001491","Wallingford Masters C","","",
"1001527","Octavius","","",
"1001541","Untrained Melody","","",
"1001546","ETX-ChristieRundel","","",
"1001550","Maidenhead Mx E8+","","",
"1001553","WBK Field","","",
"1001564","AGE-GRANDFIELD","","",
"1001613","TKSS MasD.8+ Novice Crew","","",
"1001621","Northern Virginia Rowing Club","","",
"1001622","Northern Virginia Rowing Club-2","","",
"1001624","BEB-MCLEAN","","",
"1001625","MAV-CHAPMAN","","",
"1001626","MAV-JONES","","",
"1001643","ABN-TROUP","","",
"1001645","Shoreham","","",
"1001646","Comp - Cook","","",
"1001648","FAL-SALVESEN","","",
"1001655","Maidenhead F8+","","",
"1001660","Maidenhead Mx F8+","","",
"1001661","Maidenhead C8+","","",
"1001666","WBK-THOM","","",
"1001672","RDG-HUDSON","","",
"1001677","BRD-MYERS","","",
"1001683","CSW-BRACE","","",
"1001699","Marin Rowing Association, San Francisco, California, USA","","",
"1001701","Lincoln Rowing Centre","","",
"1001719","A- Toulousain Vet","","",
"1001720","A- Toulousain Mix","","",
"1001734","BRD-SMITH","","",
"1001782","Browne","","",
"1001789","STA-SANGSTER","","",
"1001790","STA- LAWRENCE","","",
"1001791","MIN-SEWELL","","",
"1001794","SRC-ADAMS","","",
"1001795","SRC-GIBBONS","","",
"1001798","PGN-CHELTON","","",
"1001801","AVN-LAMBERT","","",
"1001813","PAR-PATTISON","","",
"1001815","Wassersportverein Waldshut E","","",
"1001819","UPT-SPENCER","","",
"1001823","Canottieri Cagliari","","",
"1001828","Ardingly WMasD","","",
"1001855","Torstein Rekkedal","","",
"1001861","LEA W.MasA","","",
"1001862","LEA WMasE","","",
"1001869","LEA-WMASC","","",
"1001889","Bob","","",
"1001894","GLB-Askin","","",
"1001895","GLB-Reader","","",
"1001896","Brewster","","",
"1001902","LeicesterMxd","","",
"1001905","ZAT sadran aviron bayonnais","","",
"1001918","TWK WMasE - Jones","","",
"1001947","ABN-DEMMAR","","",
"1001948","KGS Veterans","","",
"1001950","MAV-3","","",
"1001955","WRC Composite","","",
"1001971","Team Keane W Masters","","",
"1001989","Juris 8 Treviso Italy","","",
"1002003","TRC - Dickson","","",
"1002009","MON-LEWIS","","",
"1002012","MON-MORGAN","","",
"1002014","MON-BUTLER","","",
"1002015","Old Zealanders Denmark","","",
"1002017","KRC-RAMSEY","","",
"1002023","Oxford Academicals Rowing Club, M8+","","",
"1002054","SRC-NICHOLS","","",
"1002056","Boothman","","",
"1002100","WLT-Groom","","",
"1002101","WLT-Shaw","","",
"1002107","HIL-Mixed","","",
"1002124","GRO Ocenacova","","",
"1002142","LEA-HAINE","","",
"1002146","MAR-Kirtland","","",
"1002147","MAR-GALE","","",
"1002148","MAR-Jobbagy","","",
"1002150","LEA-LARKIN","","",
"1002170","Evesham Masters Men","","",
"1002172","Molesey vets","","",
"1002177","DSR Veterans","","",
"1002179","DSR Veterans","","",
"1002181","XP1","","",
"1002182","CAB-RICHARDSON","","",
"1002191","CAM-O'DONOGHUE","","",
"1002192","CAM-WATSON","","",
"1002195","BEW-MARTYN SMITH Vet D 8+","","",
"1002197","DUR-STANLEY","","",
"1002198","MIK-WILSON","","",
"1002207","CSH-TURNBULL","","",
"1002208","WRC-GRAY","","",
"1002226","GRO Jones","","",
"1002227","GRO Tweedie","","",
"1002236","WRC-CASEY","","",
"1002262","WRC-MILLER","","",
"1002270","Ardingly men's vets","","",
"1002271","SAN-WILSON","","",
"1002274","BOA-MANSON","","",
"1002279","TSS-WATTS","","",
"1002293","MIK-VEASEY","","",
"1002301","TRF Westwell","","",
"1002319","MAR-KENT","","",
"1002320","MAR-PHILLIPS","","",
"1002341","TEE-STOCKING","","",
"1002343","MON-TOD","","",
"1002344","TSS-KENTISH","","",
"1002353","AKN-JACKSON","","",
"1002354","TRC - Lester","","",
"1002356","WBKTSSZSCA","","",
"1002357","UTC MasC - Horne","","",
"1002358","ICSM Phoenix","","",
"1002373","LEA/MILTON KEYNES","","",
"1002416","TRC - Ewing","","",
"1002442","HER-ROWNEY","","",
"1002462","CHA-BURNSTEIN","","",
"1002471","UTRC WMD8+","","",
"1002477","CHA-ARGOS","","",
"1002497","MRT-LAMBOURN","","",
"1002527","GLR-VENN","","",
"1002541","RDG-Leen","","",
"1002544","ROS-Allen","","",
"1002548","WRC-MASC","","",
"1002552","LRC-KEAT","","",
"1002591","BRX-LUMLEY","","",
"1002592","Kick it up","","",
"1002597","NOR/LEA/ROB-FERGUSON","","",
"1002622","CC3P boys","","",
"1002626","CC3P Ladies","","",
"1002638","KRC-WILLETT","","",
"1002644","PGN-GOODE","","",
"1002645","PGN-SIMON","","",
"1002656","DUR-FORWOOD","","",
"1002659","WBK-SANDERS","","",
"1002660","LRC - Harris","","",
"1002661","WBK-WILLIAMS","","",
"1002662","AVN-THORNTON","","",
"1002663","WBK-WILLIAMS","","",
"1002664","LRC-WILLIAMSON","","",
"1002665","Belvoir Ladies","","",
"1002666","ROS-LEEMAN","","",
"1002670","WLT-JACKSON","","",
"1002677","ROB-GRAF","","",
"1002679","BRA-PHILPOTT","","",
"1002680","WEY-BUR composite","","",
"1002681","TSS-Finn","","",
"1002682","TTRC - Tubbs","","",
"1002686","HIL-WILLIAMS","","",
"1002687","HIL-WILLIAMS-2","","",
"1002691","WRR-Couper","","",
"1002692","UTC-HOWELL","","",
"1002702","PTR-DESMOND","","",
"1002703","PTR-GRANT","","",
"1002800","ROS-COLLEY","","",
"1002820","CAB-MEREDITH","","",
"1002828","MIN-BIRTWISTLE","","",
"1002829","KRC-BASCOMBE","","",
"1002856","RDG-Norton","","",
"1002872","Idroscalo 8","","",
"1002884","RV Treviris Trier","","",
