"Crew ID","Crew Name","Custom Crew Number","Custom Crew Name",
"1035212","WAR-MORDAUNT","","",
"1035340","MIN-SEWELL","","",
"1035390","PGN-HAYTON","","",
"1035403","AVN-TUCK","","",
"1035413","MHD - Scott","","",
"1035415","MHD-STEEL","","",
"1035449","PGN-PRICE-OWEN","","",
"1035454","GLR-VENN","","",
"1035455","UTC-JACOBS","","",
"1035462","BRI-FLAVELL","","",
"1035467","Hen - Berrington","","",
"1035584","AVN-THORNTON","","",
"1035587","CHA-LAWRENCE","","",
"1035616","ABN-TROUP","","",
"1035628","ETX-Lancaster","","",
"1035643","Dreadnoughts","","",
"1035656","Fredensborg / DSR/ LDR","","",
"1035772","WALDSHUT WV","","",
"1035773","Northern Virginia Rowing Club (NVRC)","","",
"1035802","WRC-TOSE","","",
"1035803","WRC-CASEY","","",
"1035825","ZOZ-HANSEN","","",
"1035880","CAB-AQUAPHOBES","","",
"1035902","CAB-POACHERS","","",
"1035910","Aviron Toulousain","","",
"1035923","ZOK-SCHULKE","","",
"1035968","ZAT sadran aviron bayonnais","","",
"1036099","ZAZ-SCHIAVELLO","","",
"1036139","ARV 508","","",
"1036211","STA-HUNT","","",
"1036212","STA-SOGAN","","",
"1036221","CBR-SPINK","","",
"1036225","STA-SMITH","","",
"1036275","UTC-SHIMMIN","","",
"1036307","QBC-LONERGAN","","",
"1036348","HEN-TURNELL","","",
"1036375","MIN-COOKE","","",
"1036379","HEN-TURNELL","","",
"1036385","MIK-WILSON","","",
"1036386","QBC-HYSLOP","","",
"1036424","Rameurs toulousains","","",
"1036427","TRC-CHICHESTER","","",
"1036432","Carpenter","","",
"1036434","TTR-BROPHY","","",
"1036473","KRC-WORTHINGTON","","",
"1036475","KRC-WHEATON","","",
"1036575","PET-RYDER","","",
"1036583","SHO-SAUNDERS","","",
"1036597","BRD-HOTCHIN","","",
"1036627","BRI-WOOLLEY","","",
"1036654","LYM-DAVIES","","",
"1036702","TRF-THOMPSON","","",
"1036703","TRF-HAMER","","",
"1036759","Mon-Barnett","","",
"1036781","BRX-LAIRD","","",
"1036789","CC3P Ette","","",
"1036790","CC3P Manu","","",
"1036791","CC3P Giulio","","",
"1036795","WLT-GUINIVEN","","",
"1036800","WLT-JACKSON","","",
"1036831","WEY-RAE","","",
"1036832","WEY-BRADY","","",
"1036845","SRC-ADAMS","","",
"1036856","CYG-BAILEY","","",
"1036857","CYG-WHELDAL","","",
"1036900","CSW-BRACE","","",
"1036905","WEY-HUDSON","","",
"1036958","GUI-MANSFIELD","","",
"1036993","PTR-DESMOND","","",
"1036994","PTR-GREEN","","",
"1037074","RG Benrath","","",
"1037087","MAR-KENT","","",
"1037088","MAR-FURNESS","","",
"1037090","MAR-MOON","","",
"1037099","CUR-STEWART","","",
"1037103","AGE-MORGAN","","",
"1037135","LEA-FRANCHI","","",
"1037173","TKC-VALDINI","","",
"1037221","QBC/TSS/MAA/KRC/LRC","","",
"1037248","BED-STAR-Chillingsworth","","",
"1037252","BED-WALSH","","",
"1037258","GRO - Bancroft","","",
"1037317","GRC/RCRC Composite","","",
"1037318","UTC-BROOKS","","",
"1037323","SHO-BAILEY","","",
"1037352","HIL-MARSHALL","","",
"1037395","WLT-EVERINGTON","","",
"1037433","DSR Veterans","","",
"1037440","LEA-RICHARDSON","","",
"1037450","GLR-Hayes","","",
"1037545","LRC-VAN TIEL","","",
"1037546","UPT-ROOKSBY","","",
"1037547","LRC-HARRIS","","",
"1037574","CUR-PETIT","","",
"1037606","TKC-MAURY","","",
"1037639","VRC-LENNOX","","",
"1037666","TRC-TUNNAH","","",
